PriorityRank,Verdict,Confidence,SupplierTitle,AmazonTitle,Supplier EAN,Amazon EAN,ASIN,SupplierPrice,SellingPrice,NetProfit,ROI,Sales,Pack Verdict,Adjusted Profit,Key Match Evidence,Filter Reason,SourceSection
253,NEEDS VERIFICATION,70,GLASS WATER BOTTLE BLUE 1L,"1 Liter Glass Water Bottle with Stainless Steel Lid - 1000ml Sports Drinking Bottle with Time Marker, Reusable Shatterproof Silicone Case Bottle for Fitness Gym Outdoor Travel Workout (Dark Blue)",5024418617792,728872254276,B0CSSVWXRL,GBP 2.80,GBP 12.99,GBP 2.87,99.5%,50,1:1 Match,GBP 2.87,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
254,NEEDS VERIFICATION,85,BRIGHT & HOMELY MASKING TAPE 48MMx40M PACK OF 6,"Pack of 6 Masking Tape Rolls (24mm x 50m) - Premium Quality Masking Tape for Painting, Decorating & Crafts, Low Tack, Residue-Free, Strong Adhesion, Ideal Paper Tape, Artist & Paint Use",5050796011686,-,B0DN1K8KKD,GBP 5.04,GBP 11.99,GBP 1.33,28.1%,500,1:1 (6x1 vs 6x1),GBP 1.33,-,Verify product identity/variant/pack on Amazon listing,NEEDS VERIFICATION (count=429)
255,NEEDS VERIFICATION,70,LADIES KNITTED HAT WITH FAUX FUR POM-POM,Sibba Bobble Hat for Women Winter Beanie Hats Thermal Fleece Lined Hat Ladies Knitted Wooly Hats with Faux Fur Pom Pom,5060605733807,-,B0BHSR7XK1,GBP 1.60,GBP 8.99,GBP 2.47,131.5%,50,1:1 Match,GBP 2.47,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
256,NEEDS VERIFICATION,70,POWERPLUS 3.5MM STEREO JACK TO STEREO JACK 1.5M,"TechRise Aux Cable 3.5mm to 3.5mm Audio Cable 1.5m, Aux Cord, Aux Lead for Car,Nylon Braided Stereo Jack for Headphones, iPod, iPhone, iPad,Soundbar, TV, PC, Speaker - Superior Sound TRS Cord(Black)",5055203803496,723800619790,B01MDOEIUD,GBP 0.67,GBP 4.99,GBP 0.80,71.9%,500,1:1 Match,GBP 0.80,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
257,NEEDS VERIFICATION,70,BAKER & SALT SWISS ROLL TRAY,Baker & Salt Non-Stick Swiss Roll Tray 32 x 23.5 x 1cm,5038135558504,-,B08G1Q1L46,GBP 3.23,GBP 8.99,GBP 0.72,22.2%,600,1:1 (1x1 vs 32x23),GBP 0.72,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
258,NEEDS VERIFICATION,70,PADLOCK LAMINATED 40MM,"SEPOXÂ® 2Pack Heavy Duty Padlock Keyed Alike, 40MM Laminated Steel Lock Body, 60MM Extra Long Shackle, Ideal for Gym Locker, Sheds, Gate, Warehouse, Hasp (2 Locks with Same Keys)",9333527002938,607376353787,B074QKHZ94,GBP 1.83,GBP 9.48,GBP 2.18,104.9%,500,Pack mismatch 1->2.00 (need 2 units),GBP 0.35,Anchor=40mm,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
259,NEEDS VERIFICATION,70,GIRLS THERMAL LEGGINGS,"Mountain Warehouse Talus Kids Base Layer Thermal Pants - Moisture Wicking, Lightweight & Quick Drying Leggings, Boys & Girls - Spring Summer, Outdoors & Travelling",5059004014976,5057634374521,B07MMKTG7J,GBP 2.40,GBP 9.99,GBP 2.62,102.6%,50,1:1 Match,GBP 2.62,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
260,NEEDS VERIFICATION,85,PAN AROMA CANDLE 85G LIME GINGER,"Pan Aroma Orange Decorative Holder & Scented Candle, Salted Caramel, 85G",5053249251813,5053249248356,B09KCLYC1D,GBP 1.53,GBP 9.99,GBP 2.35,129.1%,50,1:1 Match,GBP 2.35,-,Verify product identity/variant/pack on Amazon listing,NEEDS VERIFICATION (count=429)
261,NEEDS VERIFICATION,70,SWIFT SOFT GRIP LUXURY GEL PENS BLACK 4 PACK,Paper Mate FlexGrip Gel Pens / Medium Point (0.7 mm) / Black Ink / 4 Count,5060082957529,3026981082092,B08B41GGWH,GBP 1.02,GBP 6.25,GBP 1.20,85.3%,200,Split candidate (0.25),GBP 1.96,-,EAN mismatch (verify which barcode/variant applies); Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
262,NEEDS VERIFICATION,70,PENDEFORD POLLY PROP 500ML SAUCE PAN,"Easycook Microwave Sauce Pan, Clear, 500ml, Poly-carbonate Finish, Microwave Safe, Durable, Stylish, Includes Sauce Pan and Lid",6949196556554,-,B00EPDLLEW,GBP 0.80,GBP 7.65,GBP 1.79,146.6%,100,1:1 Match,GBP 1.79,Anchor=500ml,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
263,NEEDS VERIFICATION,85,IMPERIAL LEATHER SOAP ORIGINAL 190G PK6,"Imperial Leather Bar Soap Original Classic Cleansing Bar, Gentle Skin Care, Bulk Buy, Pack of 8 x 4 bars of 90 g (total 32 bars)",8850169047024,5000101513817,B0CTKRQJ4H,GBP 6.04,GBP 18.00,GBP 1.47,26.3%,800,Pack mismatch 1->1.33 (need 2 units),GBP -0.54,-,Verify product identity/variant/pack on Amazon listing,NEEDS VERIFICATION (count=429)
264,NEEDS VERIFICATION,70,SMART CHOICE METALLIC ROPE DOG TOY 6 ASSTD,"EXTRA Dog Rope Toy - 42In/108cm 6-Knots Indestructible Heavy Duty Dog Chew Toys for Aggressive Chewers, Medium Large Breeds",5052516217828,720490582021,B0CQXDRNBB,GBP 1.94,GBP 9.99,GBP 1.51,69.8%,300,1:1 Match,GBP 1.51,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
265,NEEDS VERIFICATION,70,ADORN VACUUM FLASK 500ML,"Double Walled Vacuum Flask Thermo, 500ml Stainless Steel Insulated Water Bottle, Flask for Hot and Cold Drinks, Travel Coffee Mug, Sports Water Bottle, Drinks Cup (Black)",6923456816176,-,B07RGT7D99,GBP 3.72,GBP 10.99,GBP 1.73,47.4%,300,1:1 Match,GBP 1.73,Anchor=500ml,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
266,NEEDS VERIFICATION,70,PPS FOIL PLATTERS 2PCS 352X247X25MM,PPS 3 x ALUMINIUM FOIL PLATTER TRAY - 44cm x 29cm disposable foil catering serving dish,5030481930010,-,B01HILDGK4,GBP 0.74,GBP 7.39,GBP 1.65,141.4%,50,Split candidate (0.50),GBP 2.03,-,Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
267,NEEDS VERIFICATION,70,CARD GAMES IN A TIN,"Talking Tables QUIZ IN A TIN Travel Trivia Quiz Game, 200 Questions Double Sided Cards after Dinner Party, Secret Santa, Present, Fun Travel Pocket Games Card Games for Adults, Gift, Ages 14+ Made",5050837277415,-,B0DG5PZ4HW,GBP 1.27,GBP 8.01,GBP 1.65,102.7%,200,1:1 Match,GBP 1.65,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
268,NEEDS VERIFICATION,70,ASHLEY SELF ADHESIVE KEY HOLDER,"pickpiff White Key Holder for Wall Adhesive, Key Hooks with 8 Hooks Wall Mounted, Black Key Hangers for Wall Decor No Drill for Living Room, Kitchen, Office",5017403134336,-,B0DMKBKNFT,GBP 1.21,GBP 6.99,GBP 1.63,104.4%,200,1:1 Match,GBP 1.63,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
269,NEEDS VERIFICATION,70,151 DAMP & STAIN BLOCK 400ML,"JENOLITE Stain Blocker Paint / WHITE / 400ml / Damp Seal & Stain Blocking Spray Paint / Damp & Anti Mould Paint For Walls & Ceilings / Immediately Block Stains, Mould & Mildew",5053249281339,-,B0897TT28M,GBP 2.98,GBP 9.99,GBP 1.63,53.8%,300,1:1 Match,GBP 1.63,Anchor=400ml; Shared tokens=4,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
270,NEEDS VERIFICATION,70,LED DART BOARD MAGNETIC,"HTUK Led Magnetic Dart Board Set, Safe Dart Game for Kids with 6 Darts, 41cm Diameter",5015934861943,5056600287032,B0BFXQ5XK3,GBP 6.72,GBP 18.99,GBP 2.92,47.6%,50,1:1 Match,GBP 2.92,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
271,HIGHLY LIKELY - AUDITED OUT,85,NUAGE BODY POWDER TALC-FREE CHERRY / WATER LILY ASSORTED 250G,"Nuage Body Powder Set - Talc-Free, Cherry Blossom and Water Lily Scents, Anti-Chafing and Moisture Absorbing - 2 Pack",5053249279756,5053249279770,B0FH524WXP,GBP 1.27,GBP 5.99,GBP 0.25,15.6%,200,Pack mismatch 1->2.00 (need 2 units),GBP -1.02,-,-,HIGHLY LIKELY - AUDITED OUT / EXCLUDED (count=57)
272,NEEDS VERIFICATION,70,BACKPACK STANDARD PAW PATROL SKYE,Paw Patrol Skye Girls Backpack / Girls Backpacks / School Bag for Kids,5060569229804,-,B01MUGGPCZ,GBP 3.70,GBP 11.99,GBP 2.45,67.6%,100,1:1 Match,GBP 2.45,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
273,NEEDS VERIFICATION,70,BOWL FLAT GLASS EMBOSSED DROPS 7CM GREEN,"ArtesÃ Glass 18 cm Serving Bowl, Green",8720573247917,5057982086312,B0BF5DTF98,GBP 2.02,GBP 11.06,GBP 2.33,104.3%,50,1:1 Match,GBP 2.33,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
274,NEEDS VERIFICATION,70,PASABACHE GLASS TEA MUG 250ML 2PK,"2 Pack Double Walled Glass Mug, Cappuccino Drinking Cups, Insulated Glass Coffee Cup with Handle, Perfect for Espresso, Latte, Espresso, Tea, Juice, Beverage (250ml/ 8.5oz)",8693357153677,-,B0CCSHX1CX,GBP 2.00,GBP 12.99,GBP 3.52,158.8%,100,Pack mismatch 1->2.00 (need 2 units),GBP 1.52,Anchor=250ml; Shared tokens=4,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
275,HIGHLY LIKELY - AUDITED OUT,85,RADOX BATH SOAK FEEL BLISSFUL 500ML PK6,"Radox Bath Soak Bubble Bath for Women - Mixed Pack of 10 Bottles (3 Muscle Soak, 1 Muscle Therapy, 2 Feel Relaxed, 2 Feel Blissful, 2 Feel Pampered) Enriched with Natural Extracts 500ml Each",8710908154720,-,B07H4JX9SW,GBP 11.75,GBP 24.99,GBP 4.95,47.9%,500,Pack mismatch 1->1.67 (need 2 units),GBP -2.88,-,-,HIGHLY LIKELY - AUDITED OUT / EXCLUDED (count=57)
276,HIGHLY LIKELY - AUDITED OUT,85,DOG LEAD AND COLLAR SET SML/MED,"2 Pack Dog Set, Adjustable Nylon Collar & Lead, Quick Release, Small & Medium Dog Size, Paw Print Pattern",5055257868564,-,B0B4NXLYDS,GBP 1.01,GBP 4.99,GBP 0.35,25.1%,100,Pack mismatch 1->2.00 (need 2 units),GBP -0.66,-,-,HIGHLY LIKELY - AUDITED OUT / EXCLUDED (count=57)
277,NEEDS VERIFICATION,70,PPS 2PLY 30 NAPKINS CHAMPAGNE 40x40CM,"Paper Serviettes Soft Napkins 40x40cm 2PLY BulkySoft Solid Colours Choose Colours (Green, 100)",5030481990472,619660485593,B082B6TRBV,GBP 1.14,GBP 8.25,GBP 1.25,83.0%,300,1:1 (40x40 vs 40x40),GBP 1.25,Anchor=40x40cm,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
278,NEEDS VERIFICATION,70,"ELBOW GREASE COMPLETE OVEN CLEANING KIT (CONTAINS BAG, BOTTLE & GLOVES)",Elbow Grease Oven Cleaner for Domestic Ovens and BBQ - 500 ML Bottle - Bags and Gloves Included - Complete Oven Cleaning Kit with Elbow Grease Scrubbing Pad,5053249238968,5065002321343,B09QHDSK3G,GBP 2.82,GBP 11.95,GBP 2.28,78.4%,100,1:1 Match,GBP 2.28,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
279,NEEDS VERIFICATION,70,MUNCH N CRUNCH BIG BONE BISCUITS 3PK 150g,Munch & Crunch Bone Chews for Dogs Multipack - 8 Tripe Filled Rawhide Dog Bones - Tasty Treat Chewy Snacks 4 Packs,5053249257068,5050375114050,B08MVDCSJQ,GBP 0.94,GBP 8.59,GBP 1.89,142.0%,50,1:1 Match,GBP 1.89,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
280,NEEDS VERIFICATION,70,APOLLO MARBLE CHEESE WIRE BOARD,"Upgraded Cheese Slicer Set with 5 Replacement Wires & Heavy-Duty 5"" x 8"" Marble Board - Durable Cheese Cutter for Block Cheeses, Butter, and More - Essential Kitchen Gadget Tool - White",5026180035583,-,B0CQJ78NMH,GBP 8.53,GBP 18.99,GBP 2.24,29.3%,200,1:1 Match,GBP 2.24,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
281,NEEDS VERIFICATION,70,PPS FOIL ROAST DISH OVAL 46CM,PPS 3 x ALUMINIUM FOIL PLATTER TRAY - 44cm x 29cm disposable foil catering serving dish,5030481930157,-,B01HILDGK4,GBP 0.67,GBP 7.39,GBP 1.71,154.5%,50,1:1 Match,GBP 1.71,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
282,NEEDS VERIFICATION,70,ASHLEY SQUEEZE SAUCE BOTTLE TRANSPARENT 2PCE,"4 Pcs 8 oz Condiment Squeeze Bottles for Sauce, Plastic Squeeze Bottles, Squirt Bottle Oil Container Dispenser for Ketchup, Sauce, BBQ, Grilling, Salad Dressing, Honey,Paint and Craft",5017403136491,-,B0CSVZNBW8,GBP 1.37,GBP 6.99,GBP 0.85,50.4%,700,Pack mismatch 1->2.00 (need 2 units),GBP -0.52,-,"Verify unit-count/pack on Amazon listing; If pack assumption holds, becomes AUDITED OUT (AdjProfit<=0)",NEEDS VERIFICATION (count=429)
283,HIGHLY LIKELY - AUDITED OUT,70,SILICONE SPATULA WITH WOOD HANDLE,"2 PCS Silicone Spatula Wood Handle, Rubber Spatulas for Cooking, Small Spatula Silicone Jar Scraper, Small Rubber Spatulas for Kitchen Cooking, Baking, Mixing",5015302442958,-,B0DZFVWFWY,GBP 1.46,GBP 6.19,GBP 0.76,42.8%,50,Pack mismatch 1->2.00 (need 2 units),GBP -0.71,-,"Verify unit-count/pack on Amazon listing; If pack assumption holds, becomes AUDITED OUT (AdjProfit<=0)",HIGHLY LIKELY - AUDITED OUT / EXCLUDED (count=57)
284,NEEDS VERIFICATION,70,MAKE A FACE BOOK PRINCESS,"24 Sheets Cartoon Make a Face Stickers, Make Your Own DIY Stickers for Kids, Art Crafts Suitable for Birthday Party Supplies Gifts (Princess)",5033601022602,781513998878,B0F2ZVJ1JT,GBP 1.05,GBP 7.29,GBP 1.86,130.4%,50,1:1 Match,GBP 1.86,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
285,NEEDS VERIFICATION,70,APOLLO GRANITE BOARD 25X15,Moritz & Moritz 2X Small Plastic Chopping Board Set Black Granite Look - 25x15 cm - Cutting Boards for Kitchen - Kitchen Chopping Boards Hygienic and Dishwasher Safe,5026180036030,4250616213721,B08YNB45N4,GBP 2.15,GBP 7.99,GBP 0.70,29.8%,50,Split candidate (0.00),GBP 2.84,Brand partial; Anchor=25x15,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
286,NEEDS VERIFICATION,70,RYSONS KITCHEN SCISSORS/KNIFE SET 3PCS,"Kitchen Scissors with Sharp Stainless Steel Blades and Soft Handles, Multifunctional Scissors Set, 3PCs, Black/Grey",5056239413055,-,B0BG6X2X5P,GBP 2.10,GBP 8.99,GBP 1.66,71.9%,200,1:1 (1x3 vs 1x3),GBP 1.66,Anchor=3pcs,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
287,NEEDS VERIFICATION,85,PPS PAPER BOWL WHITE 180MM 15PCS,50 Pack Strong Paper Bowls - 240ml Small Disposable Compostable Bagasse Bowl for Party - (4.5 x 1.77 inches) Biodegradable Microwavable Soup Bowls - Dessert Milk Salad Cereals Christmas,50304811980144,-,B0DL5RW6LV,GBP 0.85,GBP 6.49,GBP 0.48,38.0%,900,Pack mismatch 1->3.33 (need 4 units),GBP -1.51,-,Verify product identity/variant/pack on Amazon listing,NEEDS VERIFICATION (count=429)
288,NEEDS VERIFICATION,70,PPS 2PLY 30 NAPKINS RED 40X40CM,"Paper Serviettes Soft Napkins 40x40cm 2PLY BulkySoft Solid Colours Choose Colours (Dark Red, 100)",5030481990533,-,B082B76683,GBP 1.14,GBP 7.95,GBP 1.72,114.7%,100,1:1 (40x40 vs 40x40),GBP 1.72,Anchor=40x40cm; Shared tokens=4,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
289,NEEDS VERIFICATION,70,DIFFUSER 500ML PEONY & BLUSH,Lesser & Pavey Desire Aroma Pomegranate & Peony Diffuser 500ml / Aromatherapy for Home Relaxation / Stylish Gift Idea / Perfect for a Soothing Home Ambiance,5010792470108,-,B0DBQSZZLG,GBP 10.08,GBP 19.95,GBP 2.77,31.0%,50,1:1 Match,GBP 2.77,Anchor=500ml,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
290,NEEDS VERIFICATION,70,SHOPPING BAG PP WOVEN BUTTERFLY DESIGN,ECO CHIC Lightweight Foldable Reusable Shopping Bag Water Resistant Tote Bag,5037241271048,5060735639253,B0CHB8TLXV,GBP 1.21,GBP 6.99,GBP 1.72,110.2%,100,1:1 Match,GBP 1.72,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
291,NEEDS VERIFICATION,70,BLUEY'S TELEPHONE,Bluey Telephone Electronic Playset Kids Toy Phone Realistic Retro Mobile Interactive Play For Children,5050868494317,5056161283627,B0DM64GKWJ,GBP 13.02,GBP 24.99,GBP 2.54,22.3%,100,1:1 Match,GBP 2.54,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
292,NEEDS VERIFICATION,70,FIRST STEPS FOOD STORAGE POTS WITH SPOON 4PC ASSORTED,First Steps 8 Baby Food Freezer Cubes Tray 70ml POTS BPA Free,5015302109141,5015302106799,B08CY3F21W,GBP 0.94,GBP 6.99,GBP 1.29,97.4%,50,Split candidate (0.25),GBP 2.00,-,EAN mismatch (verify which barcode/variant applies); Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
293,NEEDS VERIFICATION,70,INCENSE ASHCATCHER MAGO BOLD CHAKRA,Something Different Chakra Balancing Kit Incense Sticks With Holder,5055071772986,-,B07RPYHLMN,GBP 0.67,GBP 6.99,GBP 1.43,128.9%,100,1:1 Match,GBP 1.43,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
294,NEEDS VERIFICATION,70,PRO UNA 26CM FRYING PAN & LID,"MICHELANGELO Frying Pan with Lid 26cm, Non-Toxic Stone-Derived with Bakelite Handle, Granite Pan for Induction, Cream White",5055490602420,-,B0BP7J9S1V,GBP 8.30,GBP 21.66,GBP 2.61,34.9%,50,1:1 Match,GBP 2.61,Anchor=26cm; Shared tokens=4,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
295,NEEDS VERIFICATION,70,PPS FOIL 3 BAKE TRAY RECTANGULAR,PPS 3 x ALUMINIUM FOIL PLATTER TRAY - 44cm x 29cm disposable foil catering serving dish,5030481930706,-,B01HILDGK4,GBP 0.79,GBP 7.39,GBP 1.61,133.4%,50,1:1 Match,GBP 1.61,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
296,NEEDS VERIFICATION,70,FLOWER POT SAUCER 40CM,"Plant Pot Saucers 30cm 35cm 40cm 45cm, plant trays for pots, drip tray, flower pot saucers, heavy duty plant pot trays, watering trays for plants (30CM, 1, Package Quantity)",8718158551825,-,B0DGVCBYXJ,GBP 0.92,GBP 6.99,GBP 1.22,92.5%,200,1:1 Match,GBP 1.22,Anchor=40cm,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
297,NEEDS VERIFICATION,70,ADORN SILENT WALL CLOCK 30CM,"Wall Clock Vintage Wall Clocks for Living Room Accessories, 30CM Silent Wall Clocks Non Ticking Kitchen Clock, Easy to Read Large Wall clock, Accurate Quartz Kitchen Clock, Vintage Bedroom Accessories",6923456816701,6930007733264,B0CC1BTSRS,GBP 4.24,GBP 13.97,GBP 2.10,51.5%,100,1:1 Match,GBP 2.10,Anchor=30cm; Shared tokens=4,EAN conflict - verify barcode/variant/pack,NEEDS VERIFICATION (count=429)
298,NEEDS VERIFICATION,70,VINOD TURKISH COFFEE POT 350ML,"Dicunoy Set of 2 Milk Butter Warmer Pot, 350ml/650ml Turkish Coffee Pot with Cleaning Brush, Stovetop Chocolate Melting Pan, Cezve Ibrik Briki Greek Arabic Coffee Heater for Maple Syrup, Sauce Heating",827016128630,-,B0B9GSWPD8,GBP 2.15,GBP 13.29,GBP 3.50,149.8%,50,Pack mismatch 1->2.00 (need 2 units),GBP 1.36,Anchor=350ml; Shared tokens=4,Confirm brand/pack/variant (1–2 details),NEEDS VERIFICATION (count=429)
299,NEEDS VERIFICATION,70,DOVE APA CLEAN COMFORT MENS 250ML PK6,"Dove Men + Care Clean Comfort Spray, International Version, 250 ML (6 Pack)",8718114241647,079400455703,B08B5FPG43,GBP 14.10,GBP 26.60,GBP 2.64,21.4%,50,1:1 (6x1 vs 6x1),GBP 2.64,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
300,HIGHLY LIKELY - AUDITED OUT,85,FAIRY DUAL SPONGE SCOURER WITH CRYSTALS PK2,"Addis Fairy Originals Non Scratch General Dual Sponge Scourer with Crystals, Pack of 6, Green One Size",5010303179971,5010303179995,B09P1G3YJ5,GBP 0.90,GBP 5.99,GBP 0.49,37.8%,100,Pack mismatch 1->3.00 (need 3 units),GBP -1.31,-,-,HIGHLY LIKELY - AUDITED OUT / EXCLUDED (count=57)
301,NEEDS VERIFICATION,70,SECURIT QUICK LINK ZP 3MM,"Quick Link, Ekunbuy 304 Stainless Steel Heavy Duty Clips Chain Connector Repair Link Buckle for Swing Outdoor Camping",5019923156799,792119903890,B08RDPM3J7,GBP 1.33,GBP 6.99,GBP 1.74,104.5%,50,1:1 Match,GBP 1.74,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
302,HIGHLY LIKELY - AUDITED OUT,90,DOFF CONCENTRATED MULTI PURPOSE FEED 1L,2 X Doff 1L Liquid Seaweed Concentrated Multi-Purpose Feed,5013655218435,-,B073TZKMK9,GBP 3.13,GBP 10.44,GBP 1.82,57.8%,50,Amazon is 2-pack; supplier appears single (RSU=2),GBP -1.31,Brand match (DOFF); size=1L,RSU=2 makes Adjusted Profit <= 0,HIGHLY LIKELY - AUDITED OUT / EXCLUDED (count=57)
303,NEEDS VERIFICATION,70,FRAMED ART - TOTTENHAM HOTSPUR F.C SHIRT 50CM X 40CM,Tottenham Hotspur UEFA Europa League Winners 2025 Signed Shirt A3 Poster Display - Reproduction Reprint / Framed Football Memorabilia / Black Frame 46x34cm / Spurs Collectible Wall Art No184,5060899568062,-,B0FZCN5J5F,GBP 18.82,GBP 29.99,GBP 2.60,16.0%,50,1:1 (1x1 vs 46x34),GBP 2.60,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
304,NEEDS VERIFICATION,70,PADDED ENVELOPES SIZE A 100MX165MM PK10,Mail-Lite 100 Mail Lite - C/0 - JL0 - Padded Envelopes 150 x 210mm 1 Boxes of 100 - White,5039306005650,5060330888957,B00B25LC8Q,GBP 1.27,GBP 11.39,GBP 0.84,52.0%,100,Split candidate (0.10),GBP 1.98,-,EAN mismatch (verify which barcode/variant applies); Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
305,NEEDS VERIFICATION,70,MUNCH CRUNCH RAWHIDE BONE NAT JUMBO,Munch & Crunch Bone Chews for Dogs Multipack - 8 Tripe Filled Rawhide Dog Bones - Tasty Treat Chewy Snacks 4 Packs,5050375130043,5050375114050,B08MVDCSJQ,GBP 1.21,GBP 8.59,GBP 1.66,106.3%,50,1:1 Match,GBP 1.66,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
306,NEEDS VERIFICATION,70,MUNCH CRUNCH RAWHIDE PRESSED BONE,Munch & Crunch Bone Chews for Dogs Multipack - 8 Tripe Filled Rawhide Dog Bones - Tasty Treat Chewy Snacks 4 Packs,5053249226279,5050375114050,B08MVDCSJQ,GBP 1.21,GBP 8.59,GBP 1.66,106.3%,50,1:1 Match,GBP 1.66,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
307,NEEDS VERIFICATION,70,EXTRASTAR LED FLASHLIGHT USB REECHARGABLE TORCH,"EXTRASTAR Head Torch Rechargeable, Headlight with 3 Lights 4 Modes, LED Head Torch Headlamp for Camping, Fishing, Hiking, Jogging, Running, Cycling",8432011550076,-,B09YCKKWHZ,GBP 3.83,GBP 12.99,GBP 1.95,52.0%,100,1:1 Match,GBP 1.95,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
308,NEEDS VERIFICATION,70,APOLLO COLANDER 5QT,"HaWare Colander Stainless Steel, 5-Quart Large Colanders with Handle & Base, Metal Micro-Perforated Strainer for Kitchen Pasta/Vegetable/Rice/Fruit/Food - Dishwasher Safe(28cm)",5026180090032,-,B085SVVRMZ,GBP 3.62,GBP 13.49,GBP 2.07,58.0%,50,1:1 Match,GBP 2.07,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
309,NEEDS VERIFICATION,70,BARBIE DIY FASHION SET,"Barbie DIY Fashion Designer Set - Make Your Own Casual Look / Includes T-Shirt, Leggings, Stickers, Ribbons & Stamp / Creative Fashion Toy Kit for Kids Ages 5+",5015934917435,4893825033102,B0F79CNHMQ,GBP 4.82,GBP 12.99,GBP 1.53,33.6%,200,1:1 Match,GBP 1.53,-,EAN mismatch (verify which barcode/variant applies),NEEDS VERIFICATION (count=429)
310,NEEDS VERIFICATION,70,KINGFISHER CLOTHES LINE PROP,"2.24 M Washing Line Pole Telescopic, Heavy Duty Stainless Steel Washing Line Prop, Clothes Props for Washing Line Outside, Home Garden Clothes Line Prop Laundry Support",5013478132635,-,B0DJQC9YDM,GBP 2.56,GBP 10.99,GBP 1.90,70.8%,50,1:1 Match,GBP 1.90,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
311,NEEDS VERIFICATION,70,TRAVEL MAKEUP BRUSH SET W/POUCH 18PC,10 Pcs Mini Travel Makeup Brush Set With Pouch Pink Portable Travel Size Makeup Brushes Professional Cosmetic Brush Travel Essentials kits for Women Girls Foundation Brush Blush Powder Eye Shadow,5050565855060,-,B0DRK9LQLW,GBP 1.46,GBP 6.59,GBP 0.77,43.6%,200,Split candidate (0.56),GBP 1.42,-,Verify split/repack feasibility + unit-count,NEEDS VERIFICATION (count=429)
312,NEEDS VERIFICATION,70,TEA TOWELS STITCH 2 PCS ASSORTED,"2 PCS Red Christmas Tea Towels Super Absorbent Christmas Hand Towel, 60 x 40 cm Xmas Kitchen Towel Quick Dry Dish Towels for Home Bathroom Kitchen Accessories",5026705067242,-,B0FS68LY33,GBP 2.94,GBP 9.49,GBP 1.76,58.7%,100,1:1 (1x2 vs 1x2),GBP 1.76,-,Verify product identity/variant on Amazon listing,NEEDS VERIFICATION (count=429)
